pubblicata_da;anno_rif;tipologia_opera_incompiuta;perc_avanzamento;mancanza_fondi;cause_tecniche;importo_complessivo;natura_opera;tipologia_cup;ambito_oggettivo;categoria;comunitaria;data_assegnazione_cup;lat;lon;indirizzo;distance_from_you
regione siciliana;2016;a;18.67;si;no;293672.0;realizzazione di lavori pubblici (opere ed impiantistica);nuova_reali;regionale;altre opere di edilizia sociale;None;2013-12-11;38.1831556432706;15.2770601736024;via la scala;569.0101085588102
regione siciliana;2016;a;0.0;si;si;0.0;realizzazione di lavori pubblici (opere ed impiantistica);nuova_reali;regionale;altre opere di edilizia sociale;None;2013-12-11;38.1831556432706;15.2770601736024;via f arena;569.0101085588102
regione autonoma valle d'aosta;2016;a;54.2;no;no;607676.84;realizzazione di lavori pubblici (opere ed impiantistica);nuova_reali;regionale;altre opere di edilizia pubblica;None;2013-06-18;45.7008341700604;6.92115873904527;via m collomb;568.807116840046
regione siciliana;2016;c;94.5;no;si;443437.33;realizzazione di lavori pubblici (opere ed impiantistica);nuova_reali;regionale;altre opere di edilizia pubblica;None;2017-03-30;38.0737472859001;14.8132556663707;contrada contura;568.7616531950615
regione calabria;2016;a;17.8;None;si;78780.34;realizzazione di lavori pubblici (opere ed impiantistica);nuova_reali;regionale;impianti smaltimento rifiuti urbani;None;2013-10-03;38.5571258914293;16.3218895101419;loc roseto;567.5920171708433
regione siciliana;2016;c;11.81;si;None;133966.72;realizzazione di lavori pubblici (opere ed impiantistica);nuova_reali;regionale;impianti sportivi;si;2013-06-20;38.1030189500956;14.8936934676408;via san francesco;567.493624196373
regione siciliana;2016;b;100.0;None;si;330242.6;realizzazione di lavori pubblici (opere ed impiantistica);nuova_reali;regionale;impianti sportivi;None;2013-10-25;38.2046144299206;15.2431062431713;localit? "fossazzo;565.7907426755235
regione puglia;2016;c;86.26;si;si;534821.52;realizzazione di lavori pubblici (opere ed impiantistica);nuova_reali;regionale;edilizia sociale, culturale e assistenziale;None;2008-11-13;39.8476675109897;18.3057112558558;via de gasperi ang don sturzo;564.2164206573091
regione siciliana;2016;b;66.15;si;None;468942.86;realizzazione di lavori pubblici (opere ed impiantistica);nuova_reali;regionale;strade rurali;None;2013-11-27;37.9469565491197;13.4177294607926;c/da costa madonna;562.9804394544863
regione siciliana;2016;b;50.0;no;no;612300.0;realizzazione di lavori pubblici (opere ed impiantistica);nuova_reali;regionale;musei archivi e biblioteche;None;2003-11-03;37.9574169504743;12.5871289946806;None;561.7937854618481
regione puglia;2016;c;89.11;si;no;2865299.51;realizzazione di lavori pubblici (opere ed impiantistica);nuova_reali;regionale;impianti e reti irrigue aziendali;si;2005-04-15;39.9413693156598;18.3598638465104;territorio comunale;561.1373618110094
regione siciliana;2016;b;36.68;si;None;984221.3;realizzazione di lavori pubblici (opere ed impiantistica);nuova_reali;regionale;serbatoi ed impianti di sollevamento;None;2015-07-01;38.0329569210905;12.6382502185153;via caposcale;553.1541991596623
regione siciliana;2016;b;22.02;si;None;1864833.0;realizzazione di lavori pubblici (opere ed impiantistica);nuova_reali;regionale;strade regionali, provinciali e comunali;None;2015-07-01;38.0329569210905;12.6382502185153;fico;553.1541991596623
regione siciliana;2016;b;5.72;si;None;272767.0;realizzazione di lavori pubblici (opere ed impiantistica);nuova_reali;regionale;strade regionali, provinciali e comunali;None;2015-07-01;38.0329569210905;12.6382502185153;via acquasorbe;553.1541991596623
regione siciliana;2016;a;72.4;no;si;1580803.95;realizzazione di lavori pubblici (opere ed impiantistica);nuova_reali;regionale;altre infrastrutture per attrezzature di aree produttive;None;2008-10-08;38.0762688053667;13.4970833618521;via contrada monaco;549.0998473419585
regione calabria;2016;b;56.12;None;si;1685827.0;realizzazione di lavori pubblici (opere ed impiantistica);nuova_reali;regionale;altre opere di edilizia pubblica;None;2012-04-07;38.8899362670956;16.6025303321291;area della stazione cz sala, il parco e l'area dell'ex gasometro;547.9754582506098
regione calabria;2016;a;45.01;None;si;466913.18;realizzazione di lavori pubblici (opere ed impiantistica);nuova_reali;regionale;verde pubblico;None;2011-12-30;38.8899362670956;16.6025303321291;via marincola pistoia;547.9754582506098
regione calabria;2016;a;80.52;None;si;1109756.0;realizzazione di lavori pubblici (opere ed impiantistica);nuova_reali;regionale;strade regionali, provinciali e comunali;None;2014-09-24;38.6825031622739;16.0936078454461;viale della pace - sp per triparni;545.9798767954412
regione sardegna;2016;b;24.37;None;si;2916120.96;realizzazione di lavori pubblici (opere ed impiantistica);nuova_reali;regionale;altre infrastrutture per attrezzature di aree produttive;None;2011-11-16;39.1463326454774;8.96958517367078;viale agro dfi capoterra;545.5315513075872
regione puglia;2016;b;92.72;si;no;1960748.0;realizzazione di lavori pubblici (opere ed impiantistica);nuova_reali;regionale;altre infrastrutture per attrezzature di aree produttive;None;2012-08-02;40.1207198364727;18.2958296751682;zona industriale maglie-melpignano;544.4779970426248
regione autonoma valle d'aosta;2016;a;43.45;None;None;7393349.0;realizzazione di lavori pubblici (opere ed impiantistica);nuova_reali;regionale;aerostazioni;None;2009-03-10;45.7646681872189;7.35496810011733;localit? aeroporto;543.6216179369736
regione calabria;2016;c;40.29;si;si;72168.0;realizzazione di lavori pubblici (opere ed impiantistica);nuova_reali;regionale;impianti sportivi;si;2010-06-09;38.8987360300941;16.5180370054053;loc alicella;543.263760882068
regione siciliana;2016;c;66.22;None;si;2466186.0;realizzazione di lavori pubblici (opere ed impiantistica);nuova_reali;regionale;altre opere di protezione, valorizzazione e fruizione ambientale;None;2007-02-01;38.1178366328306;13.083431317825;altro porto di terrasini;542.9174609109971
regione siciliana;2016;b;13.76;None;None;2089286.97;realizzazione di lavori pubblici (opere ed impiantistica);nuova_reali;regionale;strade regionali, provinciali e comunali;None;2006-03-15;38.1302413395215;13.3310385167979;None;542.212610229282
regione puglia;2016;c;44.91;si;no;1255666.0;realizzazione di lavori pubblici (opere ed impiantistica);nuova_reali;regionale;impianti sportivi;None;2006-07-27;39.9609678455176;18.0686080412435;None;540.6385838136221
regione puglia;2016;c;25.36;si;no;509597.0;realizzazione di lavori pubblici (opere ed impiantistica);nuova_reali;regionale;impianti sportivi;None;2013-09-30;39.9609678455176;18.0686080412435;via vora;540.6385838136221
regione puglia;2016;c;0.0;si;no;0.0;realizzazione di lavori pubblici (opere ed impiantistica);nuova_reali;regionale;impianti sportivi;None;2017-03-31;39.9892193694581;18.0704123182022;localita' serrazzite;538.7284680720162
regione puglia;2016;a;14.57;None;None;70373.82;realizzazione di lavori pubblici (opere ed impiantistica);nuova_reali;regionale;edilizia sociale, culturale e assistenziale;None;2008-10-08;40.2079098581105;18.2913026101585;via g mameli;538.2912521582535
regione puglia;2016;b;2.2;si;si;15120.0;realizzazione di lavori pubblici (opere ed impiantistica);nuova_reali;regionale;fabbricati residenziali urbani;None;2013-10-07;40.2079098581105;18.2913026101585;via omero e trento;538.2912521582535
regione sardegna;2016;c;100.0;no;si;426398.17;realizzazione di lavori pubblici (opere ed impiantistica);nuova_reali;regionale;dighe;None;2014-03-27;39.3664517218744;8.77651130406084;loc canale sa rutedda;536.6605567478571
ministero delle infrastrutture e dei trasporti - dipartimento per i trasporti, la navigazione, gli affari generali e del personale;2016;b;13.08;si;si;46907860.0;realizzazione di lavori pubblici (opere ed impiantistica);nuova_reali;regionale;dighe;None;2015-05-14;39.0012828727431;16.563629310103;ss 109 localit? difesa gimigliano;535.729230860814
regione sardegna;2016;a;32.44;None;None;2716969.67;realizzazione di lavori pubblici (opere ed impiantistica);nuova_reali;regionale;strade regionali, provinciali e comunali;None;2005-06-16;39.2246638686689;9.08836013556461;None;532.423618891657
regione puglia;2016;b;0.0;si;no;0.0;realizzazione di lavori pubblici (opere ed impiantistica);nuova_reali;regionale;fabbricati residenziali urbani;None;2013-10-07;40.192712242216;18.1366030031599;via kennedy;528.8790303769754
regione sardegna;2016;b;41.38;si;si;354269.0;realizzazione di lavori pubblici (opere ed impiantistica);nuova_reali;regionale;restauro e riqualificazione di beni culturali;None;2007-05-09;39.3834057531623;8.91079450338812;via e porrino;527.8727772272796
regione sardegna;2016;b;29.71;no;no;61526.63;realizzazione di lavori pubblici (opere ed impiantistica);nuova_reali;regionale;altre strutture ricreative;None;2008-02-04;39.3525204060887;9.01361260756985;via pixinortu;525.0419227011248
regione puglia;2016;c;42.25;si;None;2726296.0;realizzazione di lavori pubblici (opere ed impiantistica);nuova_reali;regionale;difesa del suolo e regimazione acque;None;2008-11-24;40.2748030353461;18.1332354218504;via diverse;523.1002996100104
regione sardegna;2016;a;48.01;None;si;825458.49;realizzazione di lavori pubblici (opere ed impiantistica);nuova_reali;regionale;altre opere per l'utilizzo delle risorse idriche;si;2007-10-31;39.2266908470827;9.29277619571064;quartu selena - via autonomia regionale;521.8894096508085
regione sardegna;2016;a;0.72;None;si;30000.0;realizzazione di lavori pubblici (opere ed impiantistica);nuova_reali;regionale;altre opere per l'utilizzo delle risorse idriche;si;2007-10-31;39.2266908470827;9.29277619571064;centro abitato quartu sant'elena - zona musicisti;521.8894096508085
regione sardegna;2016;b;0.0;None;si;0.0;realizzazione di lavori pubblici (opere ed impiantistica);nuova_reali;regionale;verde pubblico;None;2011-10-10;39.2266908470827;9.29277619571064;via s'arrulloni angolo via beethoven;521.8894096508085
regione sardegna;2016;a;100.0;None;None;1913012.0;realizzazione di lavori pubblici (opere ed impiantistica);nuova_reali;regionale;strutture ospedaliere;None;2013-11-18;39.5503649823167;8.77716998070161;via roma;521.0771065066141
regione sardegna;2016;c;71.43;si;None;3250522.07;realizzazione di lavori pubblici (opere ed impiantistica);nuova_reali;regionale;interventi in aree archeologiche;None;2009-05-22;39.2581611736338;9.2643996595743;territorio comunale;520.4607180662325
regione sardegna;2016;b;74.11;None;None;2879473.43;realizzazione di lavori pubblici (opere ed impiantistica);nuova_reali;regionale;difesa del suolo e regimazione acque;None;2011-03-04;39.4884500260294;8.90715810507508;via localit? rio fluminimannu;519.0555505066502
regione sardegna;2016;c;5.57;si;si;764746.0;realizzazione di lavori pubblici (opere ed impiantistica);nuova_reali;regionale;impianti sportivi;None;2013-07-24;39.7719867094893;8.57566260880884;localit? arriu;514.711000989278
regione sardegna;2016;a;40.28;no;si;256086.95;realizzazione di lavori pubblici (opere ed impiantistica);nuova_reali;regionale;altre attrezzature per la pesca;None;2014-04-28;39.9346923098611;8.46559467253617;loc stagno mare pontis;508.6991656142637
regione calabria;2016;b;29.04;si;si;128047.0;realizzazione di lavori pubblici (opere ed impiantistica);nuova_reali;regionale;strade regionali, provinciali e comunali;None;2013-10-10;39.0862643481166;16.1251918954204;serrati;507.92387424284374
regione sardegna;2016;a;28.7;None;None;87777.36;realizzazione di lavori pubblici (opere ed impiantistica);nuova_reali;regionale;altre opere per il settore silvo-pastorale;None;2010-11-15;39.7549356414038;8.74394586585214;cf monte arci;506.1327032902592
regione piemonte;2016;b;14.85;None;None;57463.0;realizzazione di lavori pubblici (opere ed impiantistica);nuova_reali;regionale;altre infrastrutture;None;2013-08-12;45.2769425689351;7.51935092715445;via del chiappo;505.18861589267425
